Day,Hour,Month,Precip In,RH,Station,Temp F,Wind Dir,Wind Spd MPH,Year
28,15,6,0,59.98,MSP,77,310,13.8,2013
28,16,6,0,53.95,MSP,78.08,310,20.7,2013
14,17,6,0,51.91,MSP,78.08,130,17.25,2013
25,17,6,0,69.43,MSP,82.04,140,9.2,2013
2,22,6,0,45.91,MSP,62.06,250,3.45,2013
14,22,6,0,61.92,MSP,73.94,140,8.05,2013
14,23,6,0,66.2,MSP,71.96,120,6.9,2013
17,23,6,0,65.31,MSP,68,20,11.5,2013
29,23,6,0,60.51,MSP,66.02,0,6.9,2013
9,0,7,0,73.88,MSP,78.08,80,8.05,2013
14,0,7,0,68.35,MSP,71.96,150,9.2,2013
22,0,7,0,86.77,MSP,71.06,140,8.05,2013
25,0,7,0,65.54,MSP,69.98,180,4.6,2013
26,0,7,0,75.75,MSP,73.04,230,9.2,2013
8,1,7,0,87.96,MSP,73.22,320,5.17,2013
9,1,7,0,73.88,MSP,78.08,60,4.6,2013
13,1,7,0,49.94,MSP,78.08,170,11.5,2013
9,2,7,0,78.96,MSP,77,90,5.75,2013
9,3,7,0,76.57,MSP,77,110,6.9,2013
28,3,7,0,74.48,MSP,53.96,320,6.9,2013
8,4,7,0,89.25,MSP,71.33,340,6.9,2013
28,4,7,0,76.98,MSP,53.06,320,6.9,2013
6,5,7,0,57.96,MSP,75.92,170,9.2,2013
8,5,7,0,92,MSP,68.99,20,5.75,2013
9,5,7,0,81.85,MSP,75.92,130,5.75,2013
28,5,7,0,76.66,MSP,53.42,340,8.43,2013
6,6,7,0,55.91,MSP,77,190,9.2,2013
8,6,7,0,93.38,MSP,68,20,9.2,2013
19,6,7,0,74.07,MSP,80.06,220,11.5,2013
4,7,7,0,70.15,MSP,68,0,0,2013
19,7,7,0,74.07,MSP,80.06,240,11.5,2013
20,7,7,0,84.38,MSP,66.92,290,6.9,2013
4,8,7,0,63.45,MSP,69.98,190,9.2,2013
8,8,7,0,87.16,MSP,68,330,8.05,2013
26,9,7,0,67.86,MSP,65.57,320,13.23,2013
8,11,7,0,64.03,MSP,78.08,350,9.2,2013
29,11,7,0,54.94,MSP,69.98,160,8.05,2013
8,12,7,0,62.16,MSP,78.98,340,9.2,2013
8,13,7,0,60.25,MSP,82.04,340,4.6,2013
8,14,7,0,56.98,MSP,84.92,50,5.75,2013
28,14,7,0,50.6,MSP,69.08,310,6.9,2013
8,15,7,0,55.04,MSP,86,350,6.9,2013
28,15,7,0,52.67,MSP,69.08,300,6.9,2013
5,16,7,0,43.07,MSP,86,180,11.5,2013
28,16,7,0,44.23,MSP,73.04,300,12.65,2013
20,18,7,0,50.39,MSP,78.98,30,10.35,2013
20,21,7,0,55.49,MSP,73.94,40,8.05,2013
27,22,7,0,68.95,MSP,57.02,340,12.65,2013
8,23,7,0,71.72,MSP,78.98,70,5.75,2013
13,23,7,0,68.35,MSP,71.96,140,9.2,2013
20,23,7,0,57.05,MSP,71.96,70,5.75,2013
27,0,8,0,67.36,MSP,86,0,0,2013
27,1,8,0,69.73,MSP,84.92,190,6.9,2013
8,2,8,0,70.28,MSP,64.94,0,0,2013
19,2,8,0,63.18,MSP,71.06,210,5.75,2013
8,3,8,0,77.83,MSP,62.96,0,0,2013
14,3,8,0,64.59,MSP,62.06,0,0,2013
10,4,8,0,67.57,MSP,64.94,0,0,2013
13,4,8,0,75.14,MSP,60.98,20,3.45,2013
14,4,8,0,77.59,MSP,60.08,0,0,2013
19,4,8,0,63.18,MSP,71.06,220,8.05,2013
7,5,8,0,96.88,MSP,62.96,340,10.35,2013
10,5,8,0,72.53,MSP,64.04,310,3.45,2013
22,5,8,0,51.18,MSP,73.04,20,12.65,2013
25,5,8,0,69.32,MSP,80.96,210,8.05,2013
6,6,8,0,89.61,MSP,60.08,310,3.45,2013
6,7,8,0,83.54,MSP,62.06,0,0,2013
4,8,8,0,72.22,MSP,60.98,120,3.45,2013
6,8,8,0,80.49,MSP,64.04,0,0,2013
28,8,8,0,84.92,MSP,75.92,90,4.6,2013
31,8,8,0,83.91,MSP,68,0,0,2013
4,9,8,0,67.46,MSP,64.04,120,5.75,2013
28,9,8,0,81.92,MSP,77,80,5.75,2013
31,10,8,0,73.49,MSP,73.94,170,4.6,2013
2,11,8,0,46.34,MSP,75.02,10,9.2,2013
2,12,8,0,43.21,MSP,75.92,10,9.2,2013
10,12,8,0,42.6,MSP,71.96,0,4.6,2013
2,13,8,0,35.91,MSP,78.08,340,13.8,2013
30,13,8,0,57.99,MSP,78.98,20,14.95,2013
2,14,8,0,31.28,MSP,78.98,10,12.65,2013
30,14,8,0,58.14,MSP,80.06,20,12.65,2013
10,16,8,0,44.23,MSP,73.04,310,4.6,2013
18,16,8,0,39.53,MSP,82.04,180,11.5,2013
9,17,8,0,42.91,MSP,73.94,300,8.05,2013
20,17,8,0,55.31,MSP,87.98,210,9.2,2013
3,18,8,0,34.55,MSP,77,300,8.05,2013
9,18,8,0,46.04,MSP,73.04,300,9.2,2013
20,18,8,0,57.39,MSP,87.98,200,6.9,2013
27,18,8,0,61.37,MSP,91.04,10,9.2,2013
8,19,8,0,53.37,MSP,73.94,250,6.9,2013
9,20,8,0,49.23,MSP,71.06,300,8.05,2013
9,21,8,0,52.67,MSP,69.08,310,8.05,2013
11,21,8,0,66.43,MSP,73.94,150,4.6,2013
9,22,8,0,56.51,MSP,68,320,8.05,2013
11,22,8,0,64.07,MSP,75.02,170,3.45,2013
18,22,8,0,57.47,MSP,75.02,170,9.2,2013
11,23,8,0,70.68,MSP,73.04,190,4.6,2013
21,23,8,0,58.14,MSP,80.06,0,0,2013
11,0,9,0,65.67,MSP,71.06,330,4.6,2013
20,0,9,0,75.51,MSP,64.94,300,9.2,2013
28,0,9,0,61.41,MSP,73.04,150,14.95,2013
11,1,9,0,70.81,MSP,69.98,260,3.45,2013
28,1,9,0,61.28,MSP,71.96,150,11.5,2013
5,2,9,0,60.77,MSP,68,70,6.9,2013
11,2,9,0,73.02,MSP,69.08,250,3.45,2013
20,2,9,0,72.33,MSP,62.06,290,11.5,2013
11,3,9,0,78.25,MSP,68,0,0,2013
27,3,9,0,72.92,MSP,68,140,11.5,2013
8,4,9,0,76.64,MSP,66.56,60,10.35,2013
11,4,9,0,78.25,MSP,68,0,0,2013
27,4,9,0,78.08,MSP,66.02,140,8.05,2013
30,4,9,0,59.72,MSP,60.08,120,6.9,2013
1,5,9,0,78.41,MSP,69.98,300,5.75,2013
5,5,9,0,62.83,MSP,64.94,80,6.9,2013
6,5,9,0,86.77,MSP,71.06,160,4.6,2013
11,5,9,0,84.38,MSP,66.92,0,0,2013
27,5,9,0,78.08,MSP,66.02,140,12.65,2013
2,6,9,0,89.4,MSP,55.04,340,5.75,2013
5,6,9,0,67.46,MSP,64.04,70,9.2,2013
11,6,9,0,84.38,MSP,66.92,200,4.6,2013
19,6,9,0,93.47,MSP,71.06,130,5.75,2013
1,7,9,0,81.94,MSP,66.11,300,8.62,2013
14,7,9,0,74.29,MSP,51.98,0,0,2013
17,7,9,0,79.94,MSP,50,140,8.05,2013
27,7,9,0,75.69,MSP,66.92,150,14.95,2013
14,8,9,0,76.98,MSP,53.06,0,0,2013
1,9,9,0,74.31,MSP,67.46,300,8.05,2013
7,9,9,0,76.48,MSP,75.92,10,3.45,2013
14,9,9,0,55.39,MSP,60.08,210,6.9,2013
1,10,9,0,68.5,MSP,71.33,310,10.35,2013
5,10,9,0,62.93,MSP,69.08,80,8.05,2013
14,10,9,0,48.17,MSP,64.04,210,9.2,2013
17,10,9,0,71.81,MSP,57.02,150,13.8,2013
21,10,9,0,68,MSP,54.68,350,7.48,2013
3,11,9,0,65.37,MSP,64.94,220,5.75,2013
5,11,9,0,61.16,MSP,71.06,110,6.9,2013
23,11,9,0,60.25,MSP,64.04,140,13.8,2013
30,11,9,0,46.99,MSP,69.08,200,13.8,2013
3,12,9,0,56.51,MSP,68,0,0,2013
23,12,9,0,54.66,MSP,68,130,13.8,2013
3,13,9,0,52.8,MSP,69.98,210,6.9,2013
12,13,9,0,44.06,MSP,71.96,330,12.65,2013
